"No.","Time","Source","Destination","Protocol","Length","Info"
"585","129.400428","3.4.1","host","USB","72","URB_INTERRUPT in"
"587","129.539733","3.4.1","host","USB","72","URB_INTERRUPT in"
"589","130.975666","3.4.1","host","USB","72","URB_INTERRUPT in"
"591","131.520463","3.4.1","host","USB","72","URB_INTERRUPT in"
"593","131.606462","3.4.1","host","USB","72","URB_INTERRUPT in"
"595","131.838653","3.4.1","host","USB","72","URB_INTERRUPT in"
"597","132.116478","3.4.1","host","USB","72","URB_INTERRUPT in"
"599","132.226662","3.4.1","host","USB","72","URB_INTERRUPT in"
"601","132.481701","3.4.1","host","USB","72","URB_INTERRUPT in"
"603","132.562720","3.4.1","host","USB","72","URB_INTERRUPT in"
"605","132.759459","3.4.1","host","USB","72","URB_INTERRUPT in"
"607","132.916820","3.4.1","host","USB","72","URB_INTERRUPT in"
"609","133.107753","3.4.1","host","USB","72","URB_INTERRUPT in"
"611","133.223493","3.4.1","host","USB","72","URB_INTERRUPT in"
"613","133.477677","3.4.1","host","USB","72","URB_INTERRUPT in"
"615","134.184708","3.4.1","host","USB","72","URB_INTERRUPT in"
"617","134.288716","3.4.1","host","USB","72","URB_INTERRUPT in"
"619","134.636502","3.4.1","host","USB","72","URB_INTERRUPT in"
"621","135.765525","3.4.1","host","USB","72","URB_INTERRUPT in"
"623","135.898725","3.4.1","host","USB","72","URB_INTERRUPT in"
"625","136.136837","3.4.1","host","USB","72","URB_INTERRUPT in"
"627","136.263760","3.4.1","host","USB","72","URB_INTERRUPT in"
"629","136.582605","3.4.1","host","USB","72","URB_INTERRUPT in"
"631","136.698571","3.4.1","host","USB","72","URB_INTERRUPT in"
"633","137.005757","3.4.1","host","USB","72","URB_INTERRUPT in"
"635","137.109558","3.4.1","host","USB","72","URB_INTERRUPT in"
"637","137.416764","3.4.1","host","USB","72","URB_INTERRUPT in"
"639","137.526783","3.4.1","host","USB","72","URB_INTERRUPT in"
"641","137.874986","3.4.1","host","USB","72","URB_INTERRUPT in"
"643","137.955593","3.4.1","host","USB","72","URB_INTERRUPT in"
"645","138.349828","3.4.1","host","USB","72","URB_INTERRUPT in"
"647","138.424562","3.4.1","host","USB","72","URB_INTERRUPT in"
"649","138.997817","3.4.1","host","USB","72","URB_INTERRUPT in"
"651","139.073644","3.4.1","host","USB","72","URB_INTERRUPT in"
"653","140.387838","3.4.1","host","USB","72","URB_INTERRUPT in"
"655","140.503620","3.4.1","host","USB","72","URB_INTERRUPT in"
"657","141.522657","3.4.1","host","USB","72","URB_INTERRUPT in"
"659","141.673775","3.4.1","host","USB","72","URB_INTERRUPT in"
"661","141.928637","3.4.1","host","USB","72","URB_INTERRUPT in"
"663","142.055650","3.4.1","host","USB","72","URB_INTERRUPT in"
"665","142.298914","3.4.1","host","USB","72","URB_INTERRUPT in"
"667","142.404111","3.4.1","host","USB","72","URB_INTERRUPT in"
"669","143.312874","3.4.1","host","USB","72","URB_INTERRUPT in"
"671","143.387874","3.4.1","host","USB","72","URB_INTERRUPT in"
"673","143.927175","3.4.1","host","USB","72","URB_INTERRUPT in"
"675","144.047901","3.4.1","host","USB","72","URB_INTERRUPT in"
"677","144.279701","3.4.1","host","USB","72","URB_INTERRUPT in"
"679","144.383701","3.4.1","host","USB","72","URB_INTERRUPT in"
"681","145.275914","3.4.1","host","USB","72","URB_INTERRUPT in"
"683","145.350840","3.4.1","host","USB","72","URB_INTERRUPT in"
"685","146.271958","3.4.1","host","USB","72","URB_INTERRUPT in"
"687","146.393717","3.4.1","host","USB","72","URB_INTERRUPT in"
"689","146.654956","3.4.1","host","USB","72","URB_INTERRUPT in"
"691","146.758754","3.4.1","host","USB","72","URB_INTERRUPT in"
"693","147.134793","3.4.1","host","USB","72","URB_INTERRUPT in"
"695","147.227993","3.4.1","host","USB","72","URB_INTERRUPT in"
"697","148.501768","3.4.1","host","USB","72","URB_INTERRUPT in"
"699","148.571954","3.4.1","host","USB","72","URB_INTERRUPT in"
"701","150.958209","3.4.1","host","USB","72","URB_INTERRUPT in"
"703","151.091023","3.4.1","host","USB","72","URB_INTERRUPT in"
"705","151.369051","3.4.1","host","USB","72","URB_INTERRUPT in"
"707","151.462151","3.4.1","host","USB","72","URB_INTERRUPT in"
"709","151.693184","3.4.1","host","USB","72","URB_INTERRUPT in"
"711","151.809060","3.4.1","host","USB","72","URB_INTERRUPT in"
"713","152.087034","3.4.1","host","USB","72","URB_INTERRUPT in"
"715","152.157064","3.4.1","host","USB","72","URB_INTERRUPT in"
"717","152.527072","3.4.1","host","USB","72","URB_INTERRUPT in"
"719","152.613887","3.4.1","host","USB","72","URB_INTERRUPT in"
"721","154.108278","3.4.1","host","USB","72","URB_INTERRUPT in"
"723","154.188955","3.4.1","host","USB","72","URB_INTERRUPT in"
"725","155.792930","3.4.1","host","USB","72","URB_INTERRUPT in"
"727","155.875096","3.4.1","host","USB","72","URB_INTERRUPT in"
"729","157.056484","3.4.1","host","USB","72","URB_INTERRUPT in"
"731","157.131152","3.4.1","host","USB","72","URB_INTERRUPT in"
"733","168.708518","3.4.1","host","USB","72","URB_INTERRUPT in"
"735","168.853393","3.4.1","host","USB","72","URB_INTERRUPT in"
"737","169.751501","3.4.1","host","USB","72","URB_INTERRUPT in"
"739","171.088402","3.4.1","host","USB","72","URB_INTERRUPT in"
"741","171.181377","3.4.1","host","USB","72","URB_INTERRUPT in"
"743","171.320216","3.4.1","host","USB","72","URB_INTERRUPT in"
"745","171.697401","3.4.1","host","USB","72","URB_INTERRUPT in"
"747","171.853607","3.4.1","host","USB","72","URB_INTERRUPT in"
"749","171.928197","3.4.1","host","USB","72","URB_INTERRUPT in"
"751","172.091434","3.4.1","host","USB","72","URB_INTERRUPT in"
"753","172.264433","3.4.1","host","USB","72","URB_INTERRUPT in"
"755","172.374207","3.4.1","host","USB","72","URB_INTERRUPT in"
"757","172.861543","3.4.1","host","USB","72","URB_INTERRUPT in"
"759","172.884422","3.4.1","host","USB","72","URB_INTERRUPT in"
"761","174.233238","3.4.1","host","USB","72","URB_INTERRUPT in"
"763","174.338234","3.4.1","host","USB","72","URB_INTERRUPT in"
"765","174.616240","3.4.1","host","USB","72","URB_INTERRUPT in"
"767","174.627251","3.4.1","host","USB","72","URB_INTERRUPT in"
